"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-26 16:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 16:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 16:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 17:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 17:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 17:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 17:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 18:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 18:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 18:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 18:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 19:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 19:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 19:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 19:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 20:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 20:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 20:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 20:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 21:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 21:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 21:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 21:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 22:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 22:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 22:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 22:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 23:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 23:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 23:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 23:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 0:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 0:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 0:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-26 0:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 1:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 1:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 1:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 1:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 2:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 2:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 2:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 2:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 3:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 3:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 3:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 3:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 4:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 4:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 4:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 4:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 5:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 5:28,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 5:43,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 5:58,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 6:13,36,53,18,12,0.6299999952316284,False
FRC3,2021-04-27 6:28,36,53,18,12,0.6299999952316284,False
